Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
USA,2016,DDoS,Government,6.17,67956,Hacker Group,Unpatched Software,Antivirus,4
USA,2024,Malware,Government,1.14,98675,Hacker Group,Social Engineering,Encryption,6
Brazil,2024,Ransomware,Education,16.26,574438,Insider,Weak Passwords,Antivirus,32
USA,2020,Ransomware,Government,16.31,330722,Nation-state,Unpatched Software,Antivirus,44
Japan,2015,Malware,Banking,7.7,91339,Hacker Group,Zero-day,AI-based Detection,3
Russia,2019,Ransomware,Banking,41.84,850951,Insider,Unpatched Software,AI-based Detection,64
Brazil,2017,Malware,Banking,14.59,319749,Nation-state,Social Engineering,VPN,12
Brazil,2021,Phishing,Education,15.02,529018,Insider,Unpatched Software,Antivirus,23
Japan,2020,Ransomware,Retail,16.86,589218,Nation-state,Zero-day,VPN,23
China,2015,Phishing,Banking,16.86,365230,Hacker Group,Zero-day,Firewall,24
India,2019,Malware,Education,19.45,298438,Insider,Unpatched Software,AI-based Detection,31
Brazil,2016,Man-in-the-Middle,Banking,19.45,204959,Insider,Zero-day,Firewall,19
Germany,2021,SQL Injection,IT,63.59,826096,Insider,Unpatched Software,Firewall,47
Japan,2016,DDoS,Banking,6.62,234048,Unknown,Unpatched Software,Firewall,17
Japan,2016,Phishing,IT,91.77,707575,Unknown,Social Engineering,VPN,51
Brazil,2018,Ransomware,Healthcare,17.72,566578,Nation-state,Social Engineering,Firewall,18
Russia,2021,DDoS,Retail,5.3,75998,Hacker Group,Unpatched Software,Firewall,24
Brazil,2019,Phishing,Banking,24.59,234916,Insider,Social Engineering,AI-based Detection,43
China,2019,Malware,Retail,19.41,337635,Nation-state,Weak Passwords,AI-based Detection,39
Russia,2022,Malware,Banking,42.22,514608,Insider,Unpatched Software,Firewall,47
USA,2023,Phishing,Government,15.39,374097,Nation-state,Unpatched Software,Encryption,45
Germany,2016,Malware,Government,14.59,291777,Hacker Group,Social Engineering,Firewall,20
India,2024,Man-in-the-Middle,IT,15.46,532065,Nation-state,Social Engineering,Encryption,22
Germany,2024,Man-in-the-Middle,Healthcare,13.63,364073,Unknown,Unpatched Software,VPN,22
India,2021,Ransomware,Telecommunications,0.73,74493,Nation-state,Social Engineering,Encryption,24
China,2021,Phishing,Retail,16.56,274796,Hacker Group,Social Engineering,Encryption,31
France,2016,DDoS,Healthcare,6.17,247845,Hacker Group,Zero-day,Firewall,11
Germany,2017,Man-in-the-Middle,IT,5.23,92155,Unknown,Unpatched Software,Encryption,5
UK,2023,Malware,IT,9.47,9242,Hacker Group,Weak Passwords,Firewall,3
Russia,2015,DDoS,IT,29.44,308117,Hacker Group,Unpatched Software,Antivirus,34
Australia,2017,Ransomware,Retail,18.48,570244,Hacker Group,Unpatched Software,Antivirus,43
India,2020,Man-in-the-Middle,Government,46.8,883035,Nation-state,Unpatched Software,Encryption,38
France,2017,Man-in-the-Middle,Banking,0.53,118082,Hacker Group,Unpatched Software,VPN,20
Japan,2021,Ransomware,Telecommunications,19.44,567421,Unknown,Zero-day,Encryption,20
Russia,2017,Malware,Healthcare,10.7,343826,Hacker Group,Weak Passwords,VPN,46
China,2016,Phishing,Retail,55.98,535127,Nation-state,Unpatched Software,VPN,61
France,2023,Malware,Healthcare,49.5,981691,Unknown,Weak Passwords,AI-based Detection,65
China,2024,SQL Injection,Government,17.71,568272,Nation-state,Weak Passwords,AI-based Detection,37
UK,2024,DDoS,IT,14.87,398963,Hacker Group,Unpatched Software,Firewall,28
UK,2019,DDoS,Government,35.35,568331,Hacker Group,Social Engineering,Antivirus,44
Australia,2019,Phishing,IT,16.39,558191,Insider,Unpatched Software,Encryption,45
USA,2021,Ransomware,Banking,30.17,536329,Insider,Social Engineering,Firewall,41
USA,2022,Man-in-the-Middle,Education,15.05,368149,Hacker Group,Unpatched Software,Encryption,18
UK,2020,DDoS,Telecommunications,10.45,231441,Nation-state,Social Engineering,VPN,18
China,2018,SQL Injection,Retail,3.05,104804,Nation-state,Zero-day,Encryption,9
UK,2022,Man-in-the-Middle,Banking,16.39,591798,Unknown,Weak Passwords,AI-based Detection,29
Japan,2019,SQL Injection,Government,13.68,382594,Nation-state,Social Engineering,Encryption,44
Australia,2016,Man-in-the-Middle,Healthcare,9.67,124922,Nation-state,Weak Passwords,Firewall,22
UK,2023,Ransomware,Government,18.34,201324,Unknown,Social Engineering,AI-based Detection,29
USA,2019,SQL Injection,IT,11.85,534934,Hacker Group,Social Engineering,AI-based Detection,21
USA,2021,Ransomware,Education,5.16,147530,Hacker Group,Weak Passwords,AI-based Detection,10
Germany,2022,SQL Injection,Education,17.15,234587,Nation-state,Social Engineering,Encryption,25
Japan,2024,Man-in-the-Middle,IT,9.47,152852,Insider,Unpatched Software,Encryption,22
Brazil,2018,SQL Injection,Retail,20.06,534701,Hacker Group,Social Engineering,Firewall,28
Russia,2023,DDoS,Banking,4.37,284007,Unknown,Social Engineering,Antivirus,23
China,2019,Man-in-the-Middle,Banking,9.49,85974,Insider,Weak Passwords,Firewall,13
USA,2024,Ransomware,Retail,5.19,230802,Nation-state,Unpatched Software,Firewall,8
India,2018,Ransomware,Retail,27.83,219365,Hacker Group,Zero-day,Firewall,23
China,2020,DDoS,Retail,2.08,43882,Nation-state,Unpatched Software,Encryption,22
France,2019,Phishing,Retail,85.01,531032,Hacker Group,Zero-day,Firewall,56
USA,2024,Phishing,Banking,18.05,231103,Hacker Group,Weak Passwords,Firewall,35
China,2023,Man-in-the-Middle,Banking,15.71,575498,Hacker Group,Zero-day,Antivirus,12
Germany,2021,DDoS,Retail,17.01,316889,Nation-state,Unpatched Software,Firewall,40
Germany,2019,DDoS,Retail,55.18,894717,Hacker Group,Weak Passwords,Antivirus,45
France,2023,Phishing,Education,60.61,763007,Insider,Social Engineering,Antivirus,54
France,2019,Ransomware,Healthcare,9.85,284261,Insider,Social Engineering,AI-based Detection,21
India,2016,Ransomware,Education,2.04,237450,Hacker Group,Unpatched Software,Encryption,13
USA,2015,SQL Injection,Banking,2.52,174271,Unknown,Unpatched Software,Firewall,9
China,2018,Phishing,IT,1.59,283733,Unknown,Unpatched Software,Encryption,5
USA,2016,Man-in-the-Middle,Retail,1.62,147715,Unknown,Unpatched Software,Firewall,3
France,2022,DDoS,Government,18.1,587334,Nation-state,Zero-day,Encryption,40
Brazil,2017,DDoS,Telecommunications,4.04,15094,Hacker Group,Unpatched Software,Firewall,5
China,2017,DDoS,Education,3.61,265106,Hacker Group,Social Engineering,VPN,18
India,2016,Malware,Banking,12.39,337396,Insider,Social Engineering,Encryption,15
Japan,2024,DDoS,Healthcare,29.07,247457,Hacker Group,Social Engineering,Antivirus,35
France,2016,DDoS,Healthcare,6.38,277622,Unknown,Weak Passwords,Firewall,14
India,2020,Man-in-the-Middle,Banking,37.22,941735,Hacker Group,Unpatched Software,Encryption,27
Japan,2020,SQL Injection,Healthcare,15.78,511018,Insider,Unpatched Software,AI-based Detection,15
USA,2021,Phishing,Retail,6.06,283689,Hacker Group,Zero-day,VPN,23
UK,2016,Malware,Banking,19.12,385040,Nation-state,Unpatched Software,Antivirus,47
China,2017,SQL Injection,Government,31.61,763107,Unknown,Unpatched Software,Encryption,70
China,2015,Man-in-the-Middle,Government,13.07,592726,Unknown,Zero-day,Encryption,12
France,2022,Ransomware,Government,36.01,773718,Nation-state,Weak Passwords,VPN,60
China,2024,Ransomware,Healthcare,6.83,260719,Hacker Group,Weak Passwords,Firewall,20
China,2018,DDoS,Banking,19.68,243943,Hacker Group,Social Engineering,AI-based Detection,13
Australia,2021,SQL Injection,IT,37.62,615230,Hacker Group,Social Engineering,AI-based Detection,28
China,2023,DDoS,Education,11.26,335579,Nation-state,Weak Passwords,VPN,31
India,2015,Malware,IT,12.47,258536,Nation-state,Weak Passwords,Antivirus,40
France,2021,DDoS,Government,47.35,531793,Nation-state,Unpatched Software,Antivirus,50
France,2019,SQL Injection,Retail,12.31,455966,Hacker Group,Social Engineering,Firewall,41
India,2021,Ransomware,Telecommunications,5.88,246084,Nation-state,Weak Passwords,AI-based Detection,7
Germany,2020,Malware,Government,10.2,560165,Nation-state,Unpatched Software,Encryption,39
India,2021,Ransomware,Telecommunications,14.45,392735,Unknown,Zero-day,VPN,26
Brazil,2021,DDoS,Banking,18.02,203763,Hacker Group,Social Engineering,Firewall,16
UK,2020,DDoS,Education,0.77,77453,Nation-state,Weak Passwords,Firewall,23
India,2023,Man-in-the-Middle,Telecommunications,13.09,579935,Unknown,Unpatched Software,Firewall,43
Germany,2015,Phishing,Banking,0.96,25895,Insider,Unpatched Software,Firewall,17
Australia,2019,SQL Injection,Banking,0.64,47788,Unknown,Weak Passwords,Antivirus,2
Brazil,2019,Phishing,Telecommunications,15.04,333082,Insider,Zero-day,VPN,45
France,2024,DDoS,IT,2.27,76554,Hacker Group,Unpatched Software,Encryption,18
Russia,2022,DDoS,IT,5.25,216523,Hacker Group,Weak Passwords,AI-based Detection,11
Brazil,2018,SQL Injection,Healthcare,15.29,249699,Unknown,Social Engineering,VPN,43
India,2020,Man-in-the-Middle,Banking,17.13,422295,Hacker Group,Social Engineering,AI-based Detection,38
UK,2020,Phishing,Banking,47.69,865818,Hacker Group,Unpatched Software,VPN,65
Brazil,2023,Phishing,Government,18.69,221636,Hacker Group,Social Engineering,AI-based Detection,12
France,2015,Ransomware,Banking,6.85,50633,Insider,Weak Passwords,Antivirus,18
Australia,2015,Ransomware,IT,8.27,232641,Unknown,Weak Passwords,VPN,23
Russia,2020,Man-in-the-Middle,Healthcare,5.47,162643,Hacker Group,Weak Passwords,Encryption,12
India,2023,SQL Injection,Retail,12.32,481553,Hacker Group,Unpatched Software,Firewall,14
Russia,2022,Phishing,Government,30.76,888511,Unknown,Unpatched Software,Encryption,69
USA,2020,Malware,Healthcare,8.92,161320,Nation-state,Social Engineering,AI-based Detection,15
France,2024,SQL Injection,Retail,13.77,528873,Unknown,Social Engineering,Antivirus,12
Japan,2019,Malware,Telecommunications,16.82,512599,Hacker Group,Zero-day,AI-based Detection,41
Australia,2024,Malware,IT,9.67,297394,Hacker Group,Unpatched Software,Firewall,5
USA,2021,DDoS,Banking,34.38,975814,Unknown,Unpatched Software,AI-based Detection,62
France,2015,Man-in-the-Middle,Education,8.75,172625,Nation-state,Unpatched Software,VPN,20
France,2022,SQL Injection,Banking,14.08,344723,Hacker Group,Social Engineering,VPN,39
UK,2023,Phishing,Healthcare,4.16,78506,Hacker Group,Social Engineering,VPN,15
Japan,2023,SQL Injection,Banking,2.49,118543,Nation-state,Social Engineering,Encryption,8
India,2017,SQL Injection,Banking,1.97,95627,Insider,Social Engineering,Firewall,7
China,2016,Ransomware,Banking,16.02,537816,Unknown,Unpatched Software,VPN,48
Australia,2018,Malware,Retail,8.6,12223,Nation-state,Unpatched Software,Firewall,9
Germany,2024,DDoS,Telecommunications,33.46,555302,Hacker Group,Social Engineering,Encryption,58
USA,2017,DDoS,Government,3.83,216063,Hacker Group,Social Engineering,Firewall,19
UK,2019,Malware,Government,13.74,397755,Nation-state,Social Engineering,Antivirus,22
USA,2016,Ransomware,Banking,18.75,498590,Hacker Group,Unpatched Software,Antivirus,41
USA,2019,Man-in-the-Middle,Government,16.67,365332,Insider,Unpatched Software,Encryption,38
Australia,2015,DDoS,Retail,13.21,543967,Unknown,Unpatched Software,Antivirus,33
France,2020,Malware,Retail,3.73,153471,Insider,Weak Passwords,Firewall,5
India,2024,DDoS,Education,34.48,887966,Unknown,Zero-day,VPN,37
Germany,2024,DDoS,IT,99.34,657700,Insider,Weak Passwords,Firewall,66
Brazil,2024,Phishing,Retail,4.06,222332,Unknown,Weak Passwords,Encryption,23
India,2021,SQL Injection,Healthcare,4.87,114043,Insider,Social Engineering,Antivirus,24
UK,2019,DDoS,Retail,6.16,211336,Unknown,Unpatched Software,VPN,15
Brazil,2018,Phishing,Banking,9.22,250983,Nation-state,Unpatched Software,Antivirus,21
France,2016,Ransomware,Government,45.78,938616,Unknown,Unpatched Software,VPN,55
Germany,2015,DDoS,Telecommunications,16.57,518150,Insider,Unpatched Software,Firewall,28
Germany,2017,Ransomware,Banking,61.78,990043,Nation-state,Unpatched Software,AI-based Detection,24
USA,2015,Ransomware,IT,18.16,441350,Nation-state,Unpatched Software,Antivirus,36
Japan,2022,Malware,Education,0.51,101296,Nation-state,Weak Passwords,VPN,12
Brazil,2016,Malware,Banking,63.01,621701,Nation-state,Weak Passwords,VPN,50
India,2020,Phishing,Retail,10.75,263303,Unknown,Social Engineering,Antivirus,14
Germany,2020,Phishing,Education,14.04,510858,Hacker Group,Weak Passwords,Firewall,46
Germany,2015,Phishing,Government,13.1,223552,Unknown,Social Engineering,Antivirus,15
India,2017,Phishing,Education,13.13,360921,Nation-state,Social Engineering,Encryption,16
China,2021,DDoS,Education,15.86,464680,Nation-state,Unpatched Software,Firewall,32
USA,2023,DDoS,Healthcare,6.27,34989,Hacker Group,Zero-day,Encryption,18
UK,2019,Ransomware,IT,39.21,672401,Insider,Weak Passwords,VPN,29
Germany,2017,DDoS,IT,19.02,296915,Unknown,Unpatched Software,Antivirus,25
USA,2021,Phishing,IT,14.99,209850,Hacker Group,Unpatched Software,Encryption,14
India,2017,Man-in-the-Middle,Banking,19.91,512505,Hacker Group,Social Engineering,AI-based Detection,26
USA,2019,Ransomware,Education,9.68,117551,Unknown,Weak Passwords,AI-based Detection,24
Japan,2017,Malware,Banking,16.36,494166,Hacker Group,Unpatched Software,Firewall,30
China,2022,Phishing,Retail,9.0,43533,Hacker Group,Unpatched Software,Firewall,18
Germany,2017,DDoS,Government,8.7,55780,Nation-state,Unpatched Software,Firewall,12
India,2016,DDoS,Banking,4.17,20720,Nation-state,Social Engineering,Encryption,11
France,2022,Phishing,Banking,6.02,233448,Nation-state,Unpatched Software,Antivirus,17
USA,2022,Phishing,Retail,9.36,58800,Hacker Group,Social Engineering,AI-based Detection,13
Russia,2017,Man-in-the-Middle,Government,20.36,314840,Hacker Group,Social Engineering,Antivirus,31
Brazil,2020,DDoS,Government,27.1,236438,Unknown,Social Engineering,Firewall,25
France,2015,Ransomware,Education,10.36,415450,Unknown,Unpatched Software,Firewall,33
UK,2022,DDoS,Education,18.72,333353,Nation-state,Zero-day,VPN,20
Brazil,2019,DDoS,Government,15.24,403792,Unknown,Weak Passwords,Antivirus,28
Australia,2021,SQL Injection,Banking,26.14,334170,Unknown,Unpatched Software,AI-based Detection,21
UK,2024,SQL Injection,IT,34.24,994668,Unknown,Unpatched Software,Firewall,56
France,2023,Phishing,Government,7.43,299588,Insider,Social Engineering,Antivirus,14
UK,2021,Man-in-the-Middle,Government,18.6,596912,Hacker Group,Weak Passwords,AI-based Detection,41
Japan,2021,SQL Injection,IT,19.47,270976,Nation-state,Weak Passwords,Firewall,20
UK,2019,DDoS,Government,7.09,77918,Insider,Zero-day,Encryption,3
China,2021,DDoS,Government,8.83,199224,Nation-state,Unpatched Software,Encryption,15
Australia,2019,Ransomware,Banking,1.89,200061,Hacker Group,Unpatched Software,Antivirus,5
Brazil,2024,Malware,Retail,4.39,152721,Unknown,Unpatched Software,AI-based Detection,8
Japan,2016,DDoS,Education,46.43,612121,Nation-state,Social Engineering,Antivirus,71
UK,2018,SQL Injection,Healthcare,13.91,499077,Hacker Group,Social Engineering,Encryption,28
Russia,2016,Man-in-the-Middle,Government,18.25,351718,Hacker Group,Unpatched Software,VPN,22
France,2015,Malware,Retail,21.0,226828,Hacker Group,Social Engineering,AI-based Detection,46
USA,2018,DDoS,Retail,20.52,546577,Hacker Group,Weak Passwords,Firewall,31
UK,2019,DDoS,Education,7.92,216516,Insider,Social Engineering,VPN,16
India,2022,Man-in-the-Middle,Telecommunications,9.81,62842,Unknown,Unpatched Software,VPN,6
Australia,2021,Malware,IT,86.62,762104,Nation-state,Unpatched Software,VPN,64
USA,2022,Man-in-the-Middle,Telecommunications,19.46,574672,Nation-state,Social Engineering,VPN,30
Brazil,2021,Ransomware,Retail,92.07,731036,Unknown,Unpatched Software,Antivirus,46
USA,2019,DDoS,Healthcare,1.61,212863,Nation-state,Weak Passwords,Firewall,21
Brazil,2021,DDoS,Telecommunications,4.64,216004,Nation-state,Weak Passwords,Firewall,13
USA,2019,Phishing,Healthcare,4.75,104772,Nation-state,Social Engineering,Antivirus,24
Japan,2016,Phishing,Telecommunications,17.33,511607,Hacker Group,Zero-day,VPN,13
Brazil,2019,DDoS,Government,8.45,101034,Hacker Group,Social Engineering,Firewall,1
Brazil,2019,Malware,Telecommunications,11.4,502074,Unknown,Unpatched Software,Firewall,13
Germany,2020,Malware,Banking,3.02,125798,Hacker Group,Unpatched Software,Firewall,16
Brazil,2017,Malware,Telecommunications,28.51,285284,Hacker Group,Social Engineering,AI-based Detection,26
France,2024,SQL Injection,Banking,8.27,154534,Nation-state,Social Engineering,VPN,8
Australia,2016,Phishing,Healthcare,95.27,637975,Insider,Unpatched Software,Antivirus,29
Brazil,2019,Malware,Education,11.85,556739,Unknown,Zero-day,VPN,37
Germany,2023,Ransomware,Education,0.62,261188,Nation-state,Weak Passwords,AI-based Detection,9
India,2022,Ransomware,Retail,19.89,524598,Nation-state,Social Engineering,Encryption,14
China,2020,DDoS,Healthcare,10.64,560257,Hacker Group,Social Engineering,VPN,39
USA,2015,Ransomware,IT,15.05,361248,Nation-state,Social Engineering,Firewall,18
Russia,2016,Phishing,Telecommunications,81.12,640642,Insider,Unpatched Software,Firewall,55
Brazil,2019,SQL Injection,Telecommunications,7.37,5915,Unknown,Unpatched Software,Firewall,16
USA,2023,Ransomware,Retail,38.74,949132,Hacker Group,Unpatched Software,Encryption,69
Australia,2018,SQL Injection,Retail,8.34,152383,Hacker Group,Weak Passwords,AI-based Detection,22
Germany,2021,Ransomware,Retail,47.56,784700,Nation-state,Social Engineering,Antivirus,43
Russia,2022,SQL Injection,IT,32.94,786159,Unknown,Social Engineering,AI-based Detection,40
Brazil,2020,Man-in-the-Middle,IT,13.66,352967,Insider,Unpatched Software,VPN,48
USA,2015,Phishing,Healthcare,21.97,507089,Nation-state,Social Engineering,Firewall,32
India,2017,Malware,IT,41.34,644793,Nation-state,Social Engineering,Antivirus,45
USA,2015,SQL Injection,Government,19.36,584458,Hacker Group,Social Engineering,Firewall,39
USA,2018,DDoS,Healthcare,19.67,356613,Nation-state,Weak Passwords,VPN,16
Japan,2019,Phishing,Telecommunications,55.63,522246,Insider,Social Engineering,AI-based Detection,24
Australia,2021,DDoS,Banking,5.56,155884,Unknown,Zero-day,Encryption,2
France,2018,Ransomware,IT,2.48,165766,Unknown,Zero-day,Firewall,8
UK,2022,Ransomware,Telecommunications,15.37,439820,Hacker Group,Social Engineering,Encryption,21
UK,2017,Malware,Telecommunications,10.68,357707,Insider,Social Engineering,Encryption,27
Germany,2022,SQL Injection,IT,15.77,596417,Hacker Group,Weak Passwords,Firewall,21
Japan,2020,Phishing,Healthcare,14.53,387814,Hacker Group,Social Engineering,Firewall,25
Australia,2015,Ransomware,Banking,15.44,581553,Nation-state,Zero-day,Encryption,40
China,2024,DDoS,Education,15.02,570195,Unknown,Unpatched Software,AI-based Detection,21
Germany,2015,SQL Injection,Education,15.55,210729,Nation-state,Social Engineering,Encryption,33
UK,2016,Phishing,Healthcare,6.26,36736,Hacker Group,Unpatched Software,AI-based Detection,6
